Date,Epoch_bary,P_bary,P'_bary,skynet file name
Oct 19 06:59:32 2019,58775.4567792464,89.4048393546975,-5.62446347404591E-15,B0833-45_ap
Oct 20 06:55:49 2019,58776.4541811702,89.4049417314528,-2.48215457635255E-15,B0833-45_ap_2
Oct 21 06:52:39 2019,58777.4520789345,89.4050989587055,-5.11531461353242E-15,B0833-45_ap_3
Oct 22 06:47:57 2019,58778.4488554743,89.4049416542770,-5.07952544803095E-15,B0833-45_ap_4
Oct 23 06:44:05 2019,58779.4461548394,89.4049416171710,-5.20399467350992E-15,B0833-45_ap_5
Oct 24 06:40:14 2019,58780.4435225052,89.4049415810921,-4.30373387498450E-15,B0833-45_ap_6
Oct 25 06:36:39 2019,58781.4410762760,89.4049415459577,-3.21049130917071E-15,B0833-45_ap_7
Oct 27 06:28:16 2019,58783.4353967498,89.4050474992231,-3.61990087000859E-15,B0833-45_ap_9
Oct 26 08:22:58 2019,58782.5149640150,89.4048902983211,-4.39348198041078E-15,B0833-45_ap_9
Oct 28 06:24:22 2019,58784.4327316263,89.4049927562707,-6.91721309472289E-15,B0833-45_ap_10
Oct 29 06:20:11 2019,58785.4298133855,89.4048390000000,-5.20702612969344E-15,B0833-45_ap_11
Oct 29 06:27:11 2019,58785.4346972544,89.4049414162338,-5.91448530900125E-15,B0833-45_ap_12
Oct 30 06:16:33 2019,58786.4273456650,89.4050986504550,-2.24663617691896E-15,B0833-45_ap_13
Oct 30 06:23:33 2019,58786.4322184212,89.4049413862771,-5.45731605628811E-15,B0833-45_ap_14
Oct 31 06:12:18 2019,58787.4244730490,89.4055641802294,-3.10055649991103E-09,B0833-45_ap_15
Nov 1 06:08:32 2019,58788.4219138666,89.4051499060913,-3.62526880391735E-15,B0833-45_ap_16
Nov 1 08:01:09 2019,58788.5000652815,89.4050986228855,-4.15332961545274E-15,B0833-45_ap_17
Nov 2 06:44:53 2019,58789.4471574950,89.4049413115218,-4.14515347098096E-15,B0833-45_ap_18
Nov 3 05:04:52 2019,58790.4194241528,89.4048900338226,-4.91761685824232E-15,B0833-45_ap_19
Nov 4 04:56:38 2019,58791.4137298134,89.4051498284616,-4.15435611805155E-15,B0833-45_ap_20
Nov 5 04:52:45 2019,58792.4110792783,89.4052011864970,-4.85453159332151E-15,B0833-45_ap_21
Nov 6 04:49:09 2019,58793.4086375880,89.4052011639974,-4.27669090649063E-15,B0833-45_ap_22
Nov 7 04:45:32 2019,58794.4061602736,89.4051497609766,-1.73581314333381E-15,B0833-45_ap_23
Nov 8 04:41:13 2019,58795.4032207541,89.4050984266061,-3.44894902884664E-15,B0833-45_ap_24
Nov 9 04:36:49 2019,58796.4002026498,89.4052011023759,-2.07107707296007E-15,B0833-45_ap_25
Nov 10 04:48:46 2019,58797.4085605332,89.4050438181495,-6.49728622139206E-15,B0833-45_ap_26
Nov 11 04:29:35 2019,58798.3952866783,89.4053040362173,-5.14848556528458E-15,B0833-45_ap_27
Nov 13 04:21:54 2019,58800.3900357993,89.4052524854715,-2.39034595651822E-15,B0833-45_ap_28
Nov 15 04:13:28 2019,58802.3843330372,89.4052524567675,-4.73258096467960E-15,B0833-45_ap_30
Nov 16 04:09:23 2019,58803.3815012030,89.4052009946187,-6.48696645934279E-15,B0833-45_ap_31
Nov 17 04:05:54 2019,58804.3791301738,89.4052524337411,-3.35114064090786E-15,B0833-45_ap_32
Nov 18 04:01:25 2019,58805.3760656829,89.4050982789226,-3.52776141691969E-15,B0833-45_ap_34
Nov 19 03:57:50 2019,58806.3736162302,89.4053555237487,-3.14696968297874E-15,B0833-45_ap_33
Nov 20 03:53:31 2019,58807.3706788591,89.4051495757029,-3.18638934572202E-15,
Nov 21 03:50:30 2019,58808.3686337598,89.4053039207063,-5.04053616350631E-15,
,,,,
Wed Jul 1 14:09:09 2020,59031.7550923814,89.4076976493719,-4.25208701870597E-15,B0833-45_ap_40