Epoch_bary,P_bary,P'_bary,Skynet plot name
58774.6677290060,4.57001208943030,-2.5989019198194E-11,J1713+0747_ap_5
58773.9969058578,4.57000902820985,3.66007398352819E-18,J1713+0747_ap_4
58775.7009828149,4.56999586592721,4.48010802318638E-18,J1713+0747_ap_7
58776.6981508063,4.56998941700725,7.81602618328694E-18,J1713+0747_ap_8
58777.6954256341,4.56998610381640,-5.19220581443929E-12,J1713+0747_ap_9
,4.57014949170023,-5.40567654734377E-10,J1713+0747_ap_10
,4.57014758910208,1.27097978049943E-09,J1713+0747_ap_11
,4.57010390719663,1.24746132539664E-10,J1713+0747_ap_13
,4.57007332959920,-5.29035926790628E-10,J1713+0747_ap_17
,,,
58781.9137419413,4.56998161178540,-1.03732521412670E-11,J1713+0747_ap_21
58783.6279588499,4.57000042250469,-6.74979175889978E-11,J1713+0747_ap_27
58784.6220802541,4.56998924014540,-5.20326926640944E-12,J1713+0747_ap_29
58785.7967712877,4.56999314926941,5.20327345869556E-12,J1713+0747_ap_31
,,,
58788.0060267266,4.57001209045859,3.83226751663154E-18,J1713+0747_ap_35
58788.6115614705,4.57000808525987,3.64616379922546E-11,J1713+0747_ap_36
58789.6081193682,4.57002641653356,5.19764003721766E-12,J1713+0747_ap_37
58790.9315030928,4.57004405811328,-5.18652350907632E-12,J1713+0747_ap_39
58791.6025457776,4.57004660304173,2.07904578348832E-11,J1713+0747_ap_40
,,,
,,,
,,,
,,,
,,,
58796.9902781607,4.57011692186349,4.1536031858478E-11,J1713+0747_ap_53
58797.5859483980,4.57014165391567,-1.6095114031504E-10,J1713+0747_ap_54
,4.57025742383768,4.7196553423026E-10,J1713+0747_ap_54
,4.57003358034898,1.1746337020012E-09,J1713+0747_ap_55
,4.56994111692194,-5.8731736330602E-10,J1713+0747_ap_58
,4.56994762851166,-5.6652583814632E-10,J1713+0747_ap_57
58803.5872081009,4.57015404856817,7.8481527499936E-10,J1713+0747_ap_58
58804.6203000388,4.57010065117925,7.0685164062180E-10,J1713+0747_ap_59
58804.6497789959,4.57015016821224,1.9771445049921E-10,J1713+0747_ap_60
58805.5642995203,4.57015994127461,3.2258572751391E-10,J1713+0747_ap_61
,4.57004130048270,3.1284917944103E-01,J1713+0747_ap_63
58806.9540740604,4.57020472991326,-2.59315457811133E-10,J1713+0747_ap_64
,4.56996832496691,8.7503818403565E-10,J1713+0747_ap_66
58806.5620934939,4.57017484650929,7.3205021313509E-10,J1713+0747_ap_62